Day,Volume,time
12/1/2015,5,1
12/2/2015,5,2
12/3/2015,4,3
12/4/2015,4,4
12/5/2015,4,5
12/6/2015,5,6
12/7/2015,6,7
12/8/2015,9,8
12/9/2015,9,9
12/10/2015,8,10
12/11/2015,7,11
12/12/2015,6,12
12/13/2015,6,13
12/14/2015,6,14
12/15/2015,6,15
12/16/2015,9,16
12/17/2015,7,17
12/18/2015,5,18
12/19/2015,5,19
12/20/2015,7,20
12/21/2015,6,21
12/22/2015,5,22
12/23/2015,6,23
12/24/2015,5,24
12/25/2015,4,25
12/26/2015,4,26
12/27/2015,4,27
12/28/2015,4,28
12/29/2015,5,29
12/30/2015,5,30
12/31/2015,6,31
1/1/2016,7,32
1/2/2016,7,33
1/3/2016,7,34
1/4/2016,8,35
1/5/2016,8,36
1/6/2016,8,37
1/7/2016,8,38
1/8/2016,8,39
1/9/2016,7,40
1/10/2016,8,41
1/11/2016,9,42
1/12/2016,10,43
1/13/2016,14,44
1/14/2016,9,45
1/15/2016,12,46
1/16/2016,10,47
1/17/2016,9,48
1/18/2016,12,49
1/19/2016,10,50
1/20/2016,11,51
1/21/2016,10,52
1/22/2016,9,53
1/23/2016,9,54
1/24/2016,9,55
1/25/2016,10,56
1/26/2016,11,57
1/27/2016,12,58
1/28/2016,11,59
1/29/2016,13,60
1/30/2016,11,61
1/31/2016,13,62
2/1/2016,21,63
2/2/2016,37,64
2/3/2016,19,65
2/4/2016,14,66
2/5/2016,17,67
2/6/2016,11,68
2/7/2016,13,69
2/8/2016,12,70
2/9/2016,17,71
2/10/2016,33,72
2/11/2016,18,73
2/12/2016,14,74
2/13/2016,12,75
2/14/2016,12,76
2/15/2016,14,77
2/16/2016,16,78
2/17/2016,15,79
2/18/2016,15,80
2/19/2016,15,81
2/20/2016,17,82
2/21/2016,33,83
2/22/2016,21,84
2/23/2016,22,85
2/24/2016,26,86
2/25/2016,21,87
2/26/2016,39,88
2/27/2016,38,89
2/28/2016,38,90
2/29/2016,27,91
3/1/2016,43,92
3/2/2016,76,93
3/3/2016,34,94
3/4/2016,33,95
3/5/2016,27,96
3/6/2016,39,97
3/7/2016,31,98
3/8/2016,27,99
3/9/2016,44,100
3/10/2016,24,101
3/11/2016,22,102
3/12/2016,20,103
3/13/2016,26,104
3/14/2016,26,105
3/15/2016,44,106
3/16/2016,84,107
3/17/2016,28,108
3/18/2016,21,109
3/19/2016,24,110
3/20/2016,20,111
3/21/2016,19,112
3/22/2016,21,113
3/23/2016,36,114
3/24/2016,17,115
3/25/2016,14,116
3/26/2016,18,117
3/27/2016,26,118
3/28/2016,17,119
3/29/2016,17,120
3/30/2016,16,121
3/31/2016,15,122
4/1/2016,14,123
4/2/2016,12,124
4/3/2016,14,125
4/4/2016,17,126
4/5/2016,21,127
4/6/2016,34,128
4/7/2016,18,129
4/8/2016,17,130
4/9/2016,17,131
4/10/2016,22,132
4/11/2016,18,133
4/12/2016,15,134
4/13/2016,15,135
4/14/2016,13,136
4/15/2016,13,137
4/16/2016,12,138
4/17/2016,12,139
4/18/2016,14,140
4/19/2016,20,141
4/20/2016,34,142
4/21/2016,15,143
4/22/2016,12,144
4/23/2016,11,145
4/24/2016,13,146
4/25/2016,16,147
4/26/2016,20,148
4/27/2016,35,149
4/28/2016,16,150
4/29/2016,14,151
4/30/2016,12,152
5/1/2016,14,153
5/2/2016,17,154
5/3/2016,22,155
5/4/2016,51,156
5/5/2016,40,157
5/6/2016,48,158
5/7/2016,28,159
5/8/2016,30,160
5/9/2016,100,161
5/10/2016,93,162
5/11/2016,54,163
5/12/2016,27,164
5/13/2016,22,165
5/14/2016,18,166
5/15/2016,21,167
5/16/2016,26,168
5/17/2016,23,169
5/18/2016,25,170
5/19/2016,86,171
5/20/2016,18,172
5/21/2016,14,173
5/22/2016,13,174
5/23/2016,15,175
5/24/2016,13,176
5/25/2016,17,177
5/26/2016,15,178
5/27/2016,13,179
5/28/2016,10,180
5/29/2016,10,181
5/30/2016,11,182
5/31/2016,11,183
6/1/2016,11,184
6/2/2016,11,185
6/3/2016,12,186
6/4/2016,12,187
6/5/2016,15,188
6/6/2016,19,189
6/7/2016,29,190
6/8/2016,52,191
6/9/2016,21,192
6/10/2016,15,193
6/11/2016,12,194
6/12/2016,11,195
6/13/2016,12,196
6/14/2016,12,197
6/15/2016,13,198
